,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:46,Andaman and Nicobar Islands,5490,5276,64,150,
1,2021-04-23 08:32:03,Andaman and Nicobar Islands,5527,5309,65,153,37.0
2,2021-04-23 23:24:26,Andaman and Nicobar Islands,5569,5358,65,146,42.0
3,2021-04-24 23:24:13,Andaman and Nicobar Islands,5614,5410,66,138,45.0
4,2021-04-25 23:23:44,Andaman and Nicobar Islands,5665,5467,66,132,51.0
5,2021-04-26 23:24:24,Andaman and Nicobar Islands,5716,5520,66,130,51.0
6,2021-04-27 23:25:05,Andaman and Nicobar Islands,5764,5562,66,136,48.0
7,2021-04-28 23:28:17,Andaman and Nicobar Islands,5816,5606,67,143,52.0
8,2021-04-30 13:00:29,Andaman and Nicobar Islands,5875,5643,67,165,59.0
9,2021-04-30 23:18:03,Andaman and Nicobar Islands,5949,5701,67,181,74.0
10,2021-05-01 23:54:36,Andaman and Nicobar Islands,6046,5773,68,205,97.0
11,2021-05-03 11:14:22,Andaman and Nicobar Islands,6084,5798,69,217,38.0
12,2021-05-03 23:21:33,Andaman and Nicobar Islands,6150,5850,70,230,66.0
13,2021-05-04 23:08:29,Andaman and Nicobar Islands,6181,5879,70,232,31.0
14,2021-05-06 12:36:07,Andaman and Nicobar Islands,6223,5928,71,224,42.0
15,2021-05-06 23:17:56,Andaman and Nicobar Islands,6255,5958,72,225,32.0
16,2021-05-08 11:39:56,Andaman and Nicobar Islands,6310,6030,72,208,55.0
17,2021-05-08 12:13:50,Andaman and Nicobar Islands,6311,6030,72,209,1.0
18,2021-05-08 23:51:43,Andaman and Nicobar Islands,6341,6056,74,211,30.0
19,2021-05-09 23:13:37,Andaman and Nicobar Islands,6367,6088,76,203,26.0
20,2021-05-10 23:58:00,Andaman and Nicobar Islands,6398,6125,78,195,31.0
21,2021-05-12 10:42:13,Andaman and Nicobar Islands,6426,6149,78,199,28.0
22,2021-05-12 23:22:55,Andaman and Nicobar Islands,6470,6175,81,214,44.0
23,2021-05-13 22:30:02,Andaman and Nicobar Islands,6510,6213,83,214,40.0
24,2021-05-14 22:29:54,Andaman and Nicobar Islands,6542,6225,85,232,32.0
25,2021-05-15 23:20:30,Andaman and Nicobar Islands,6568,6267,85,216,26.0
26,2021-05-17 13:17:56,Andaman and Nicobar Islands,6603,6283,88,232,35.0
27,2021-05-17 21:45:59,Andaman and Nicobar Islands,6638,6329,89,220,35.0
28,2021-05-18 21:43:08,Andaman and Nicobar Islands,6674,6359,92,223,36.0
29,2021-05-19 21:43:41,Andaman and Nicobar Islands,6709,6385,95,229,35.0
30,2021-05-23 14:44:19,Andaman and Nicobar Islands,6820,6441,101,278,111.0
31,2021-05-23 22:21:59,Andaman and Nicobar Islands,6844,6473,103,268,24.0
32,2021-05-24 21:15:18,Andaman and Nicobar Islands,6853,6495,104,254,9.0
33,2021-05-25 21:29:00,Andaman and Nicobar Islands,6878,6544,106,228,25.0
34,2021-05-26 21:55:11,Andaman and Nicobar Islands,6901,6573,108,220,23.0
35,2021-05-27 22:15:14,Andaman and Nicobar Islands,6917,6591,109,217,16.0
36,2021-05-28 22:03:38,Andaman and Nicobar Islands,6936,6630,113,193,19.0
37,2021-05-30 10:25:07,Andaman and Nicobar Islands,6964,6660,113,191,28.0
38,2021-05-30 23:12:18,Andaman and Nicobar Islands,6984,6683,114,187,20.0
39,2021-06-01 12:43:16,Andaman and Nicobar Islands,7005,6719,114,172,21.0
40,2021-06-02 10:01:09,Andaman and Nicobar Islands,7018,6745,117,156,13.0
41,2021-06-02 21:51:09,Andaman and Nicobar Islands,7043,6781,119,143,25.0
42,2021-06-03 21:54:16,Andaman and Nicobar Islands,7070,6820,119,131,27.0
43,2021-06-04 23:32:02,Andaman and Nicobar Islands,7088,6852,121,115,18.0
44,2021-06-05 23:41:41,Andaman and Nicobar Islands,7105,6876,122,107,17.0
45,2021-06-06 21:46:25,Andaman and Nicobar Islands,7119,6894,122,103,14.0
46,2021-06-08 00:22:27,Andaman and Nicobar Islands,7131,6912,123,96,12.0
47,2021-06-08 22:41:57,Andaman and Nicobar Islands,7154,6935,125,94,23.0
48,2021-06-09 21:32:31,Andaman and Nicobar Islands,7168,6952,125,91,14.0
49,2021-06-10 22:23:02,Andaman and Nicobar Islands,7197,6973,125,99,29.0
50,2021-06-11 21:14:04,Andaman and Nicobar Islands,7233,6984,125,124,36.0
51,2021-06-12 22:48:17,Andaman and Nicobar Islands,7243,6996,126,121,10.0
52,2021-06-13 22:29:54,Andaman and Nicobar Islands,7261,7025,126,110,18.0
53,2021-06-14 21:14:51,Andaman and Nicobar Islands,7269,7034,126,109,8.0
54,2021-06-15 20:43:14,Andaman and Nicobar Islands,7280,7049,126,105,11.0
55,2021-06-16 20:58:28,Andaman and Nicobar Islands,7306,7079,127,100,26.0
56,2021-06-18 08:09:41,Andaman and Nicobar Islands,7335,7104,127,104,29.0
57,2021-06-18 21:32:30,Andaman and Nicobar Islands,7363,7128,127,108,28.0
58,2021-06-19 23:42:28,Andaman and Nicobar Islands,7394,7162,127,105,31.0
59,2021-06-20 21:05:35,Andaman and Nicobar Islands,7406,7177,127,102,12.0
60,2021-06-20 22:45:34,Andaman and Nicobar Islands,7394,7162,127,105,-12.0
61,2021-06-20 23:01:44,Andaman and Nicobar Islands,7406,7177,127,102,12.0
62,2021-06-21 21:50:56,Andaman and Nicobar Islands,7415,7191,127,97,9.0
63,2021-06-22 21:30:31,Andaman and Nicobar Islands,7425,7195,127,103,10.0
64,2021-06-23 21:55:22,Andaman and Nicobar Islands,7438,7210,127,101,13.0
65,2021-06-24 21:22:47,Andaman and Nicobar Islands,7440,7214,127,99,2.0
66,2021-06-25 21:15:53,Andaman and Nicobar Islands,7441,7245,127,69,1.0
67,2021-06-26 21:25:37,Andaman and Nicobar Islands,7451,7285,127,39,10.0
68,2021-06-26 21:43:09,Andaman and Nicobar Islands,7446,7265,127,54,-5.0
69,2021-06-27 20:03:16,Andaman and Nicobar Islands,7455,7266,127,62,9.0
70,2021-06-28 21:35:12,Andaman and Nicobar Islands,7462,7286,128,48,7.0
71,2021-06-29 22:27:23,Andaman and Nicobar Islands,7466,7296,128,42,4.0
72,2021-06-30 22:25:47,Andaman and Nicobar Islands,7467,7308,128,31,1.0
73,2021-07-01 21:05:49,Andaman and Nicobar Islands,7469,7308,128,33,2.0
74,2021-07-02 22:15:49,Andaman and Nicobar Islands,7475,7325,128,22,6.0
75,2021-07-04 10:48:24,Andaman and Nicobar Islands,7478,7330,128,20,3.0
76,2021-07-04 23:37:35,Andaman and Nicobar Islands,7482,7333,128,21,4.0
77,2021-07-06 08:33:33,Andaman and Nicobar Islands,7482,7339,128,15,0.0
78,2021-07-06 21:44:57,Andaman and Nicobar Islands,7487,7343,128,16,5.0
79,2021-07-07 20:51:50,Andaman and Nicobar Islands,7491,7349,128,14,4.0
80,2021-07-08 11:34:56,Andaman and Nicobar Islands,7487,7343,128,16,-4.0
81,2021-07-08 11:51:17,Andaman and Nicobar Islands,7491,7349,128,14,4.0
82,2021-07-08 20:56:52,Andaman and Nicobar Islands,7492,7351,128,13,1.0
83,2021-07-09 21:52:15,Andaman and Nicobar Islands,7492,7352,128,12,0.0
84,2021-07-10 21:58:52,Andaman and Nicobar Islands,7492,7352,129,11,0.0
85,2021-07-12 20:56:21,Andaman and Nicobar Islands,7493,7355,129,9,1.0
86,2021-07-13 20:47:33,Andaman and Nicobar Islands,7496,7358,129,9,3.0
87,2021-07-14 20:43:40,Andaman and Nicobar Islands,7499,7359,129,11,3.0
88,2021-07-15 21:31:40,Andaman and Nicobar Islands,7501,7359,129,13,2.0
89,2021-07-16 21:44:19,Andaman and Nicobar Islands,7505,7360,129,16,4.0
90,2021-07-17 20:45:32,Andaman and Nicobar Islands,7506,7361,129,16,1.0
91,2021-07-18 21:23:32,Andaman and Nicobar Islands,7510,7365,129,16,4.0
92,2021-07-19 21:03:03,Andaman and Nicobar Islands,7516,7368,129,19,6.0
93,2021-07-20 21:26:35,Andaman and Nicobar Islands,7518,7370,129,19,2.0
94,2021-07-21 20:36:47,Andaman and Nicobar Islands,7521,7374,129,18,3.0
95,2021-07-22 21:39:29,Andaman and Nicobar Islands,7525,7377,129,19,4.0
96,2021-07-23 22:28:31,Andaman and Nicobar Islands,7525,7379,129,17,0.0
97,2021-07-24 21:49:05,Andaman and Nicobar Islands,7525,7382,129,14,0.0
98,2021-07-25 17:20:47,Andaman and Nicobar Islands,7529,7385,129,15,4.0
99,2021-07-26 21:23:10,Andaman and Nicobar Islands,7530,7387,129,14,1.0
