,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:45:53,Andhra Pradesh,997462,922977,7541,66944,
1,2021-04-23 19:04:10,Andhra Pradesh,1009228,927418,7579,74231,11766.0
2,2021-04-24 19:03:54,Andhra Pradesh,1020926,931839,7616,81471,11698.0
3,2021-04-25 19:04:04,Andhra Pradesh,1033560,936143,7685,89732,12634.0
4,2021-04-26 19:40:28,Andhra Pradesh,1043441,940574,7736,95131,9881.0
5,2021-04-27 19:40:27,Andhra Pradesh,1054875,947629,7800,99446,11434.0
6,2021-04-28 21:19:00,Andhra Pradesh,1069544,954062,7871,107611,14669.0
7,2021-04-29 19:31:37,Andhra Pradesh,1084336,962250,7928,114158,14792.0
8,2021-04-30 19:30:22,Andhra Pradesh,1101690,970718,7992,122980,17354.0
9,2021-05-01 20:34:47,Andhra Pradesh,1121102,982297,8053,130752,19412.0
10,2021-05-02 19:43:33,Andhra Pradesh,1145022,993708,8136,143178,23920.0
11,2021-05-03 19:32:56,Andhra Pradesh,1163994,1003935,8207,151852,18972.0
12,2021-05-04 20:36:41,Andhra Pradesh,1184028,1016142,8289,159597,20034.0
13,2021-05-05 22:26:10,Andhra Pradesh,1206232,1027270,8374,170588,22204.0
14,2021-05-06 19:30:03,Andhra Pradesh,1228186,1037411,8446,182329,21954.0
15,2021-05-07 19:43:47,Andhra Pradesh,1245374,1050044,8519,186811,17188.0
16,2021-05-07 20:32:00,Andhra Pradesh,1245374,1050160,8519,186695,0.0
17,2021-05-08 20:29:50,Andhra Pradesh,1265439,1069432,8615,187392,20065.0
18,2021-05-09 21:11:09,Andhra Pradesh,1287603,1088264,8707,190632,22164.0
19,2021-05-10 18:55:35,Andhra Pradesh,1302589,1104431,8761,189397,14986.0
20,2021-05-10 19:31:14,Andhra Pradesh,1302589,1104431,8791,189367,0.0
21,2021-05-12 10:40:28,Andhra Pradesh,1322934,1118933,8899,195102,20345.0
22,2021-05-12 21:44:33,Andhra Pradesh,1344386,1138028,8988,197370,21452.0
23,2021-05-13 19:04:42,Andhra Pradesh,1366785,1156666,9077,201042,22399.0
24,2021-05-14 19:40:18,Andhra Pradesh,1388803,1175843,9173,203787,22018.0
25,2021-05-15 20:10:38,Andhra Pradesh,1411320,1194582,9271,207467,22517.0
26,2021-05-16 21:43:35,Andhra Pradesh,1435491,1215683,9372,210436,24171.0
27,2021-05-17 18:23:46,Andhra Pradesh,1454052,1233017,9481,211554,18561.0
28,2021-05-18 19:05:03,Andhra Pradesh,1475372,1254291,9580,211501,21320.0
29,2021-05-19 20:42:53,Andhra Pradesh,1498532,1279110,9686,209736,23160.0
30,2021-05-23 14:39:25,Andhra Pradesh,1562060,1341355,10022,210683,63528.0
31,2021-05-23 19:11:19,Andhra Pradesh,1580827,1361464,10126,209237,18767.0
32,2021-05-24 19:10:48,Andhra Pradesh,1593821,1379837,10222,203762,12994.0
33,2021-05-25 19:57:34,Andhra Pradesh,1609105,1400754,10328,198023,15284.0
34,2021-05-26 18:29:15,Andhra Pradesh,1627390,1424859,10427,192104,18285.0
35,2021-05-27 20:48:59,Andhra Pradesh,1643557,1446244,10531,186782,16167.0
36,2021-05-28 20:07:43,Andhra Pradesh,1657986,1466990,10634,180362,14429.0
37,2021-05-29 18:00:39,Andhra Pradesh,1671742,1482565,10738,178439,13756.0
38,2021-05-29 19:22:03,Andhra Pradesh,1671742,1487382,10738,173622,0.0
39,2021-05-30 19:19:55,Andhra Pradesh,1685142,1508515,10832,165795,13400.0
40,2021-05-31 20:53:43,Andhra Pradesh,1693085,1528360,10930,153795,7943.0
41,2021-06-01 19:38:26,Andhra Pradesh,1704388,1546617,11034,146737,11303.0
42,2021-06-02 19:23:45,Andhra Pradesh,1717156,1562229,11132,143795,12768.0
43,2021-06-03 19:36:30,Andhra Pradesh,1728577,1578452,11213,138912,11421.0
44,2021-06-04 18:03:27,Andhra Pradesh,1738990,1593921,11296,133773,10413.0
45,2021-06-05 20:07:03,Andhra Pradesh,1749363,1609879,11376,128108,10373.0
46,2021-06-06 20:51:57,Andhra Pradesh,1758339,1623447,11466,123426,8976.0
47,2021-06-07 20:30:50,Andhra Pradesh,1763211,1637149,11552,114510,4872.0
48,2021-06-08 20:21:51,Andhra Pradesh,1771007,1651790,11629,107588,7796.0
49,2021-06-09 20:42:09,Andhra Pradesh,1779773,1664082,11696,103995,8766.0
50,2021-06-10 19:00:24,Andhra Pradesh,1787883,1677063,11763,99057,8110.0
51,2021-06-11 21:14:27,Andhra Pradesh,1796122,1688198,11824,96100,8239.0
52,2021-06-12 18:36:21,Andhra Pradesh,1803074,1699775,11882,91417,6952.0
53,2021-06-13 19:00:17,Andhra Pradesh,1809844,1712267,11940,85637,6770.0
54,2021-06-14 18:27:03,Andhra Pradesh,1814393,1722381,11999,80013,4549.0
55,2021-06-15 18:19:54,Andhra Pradesh,1820134,1732948,12052,75134,5741.0
56,2021-06-17 08:33:58,Andhra Pradesh,1826751,1743176,12109,71466,6617.0
57,2021-06-18 08:07:25,Andhra Pradesh,1832902,1750904,12167,69831,6151.0
58,2021-06-18 18:31:38,Andhra Pradesh,1839243,1759390,12224,67629,6341.0
59,2021-06-19 19:31:58,Andhra Pradesh,1844917,1767404,12269,65244,5674.0
60,2021-06-20 18:25:40,Andhra Pradesh,1850563,1775176,12319,63068,5646.0
61,2021-06-20 22:46:14,Andhra Pradesh,1844917,1767404,12269,65244,-5646.0
62,2021-06-20 23:02:23,Andhra Pradesh,1850563,1775176,12319,63068,5646.0
63,2021-06-21 17:18:18,Andhra Pradesh,1853183,1782680,12363,58140,2620.0
64,2021-06-22 18:53:19,Andhra Pradesh,1857352,1791056,12416,53880,4169.0
65,2021-06-23 19:25:04,Andhra Pradesh,1862036,1798380,12452,51204,4684.0
66,2021-06-24 16:44:23,Andhra Pradesh,1867017,1804844,12490,49683,4981.0
67,2021-06-25 20:40:14,Andhra Pradesh,1871475,1811157,12528,47790,4458.0
68,2021-06-26 18:16:39,Andhra Pradesh,1875622,1816930,12566,46126,4147.0
69,2021-06-27 19:20:04,Andhra Pradesh,1879872,1822500,12599,44773,4250.0
70,2021-06-28 18:28:29,Andhra Pradesh,1882096,1827214,12630,42252,2224.0
71,2021-06-29 19:38:03,Andhra Pradesh,1885579,1832811,12671,40097,3483.0
72,2021-06-29 19:47:38,Andhra Pradesh,1885716,1832971,12671,40074,137.0
73,2021-06-30 19:48:49,Andhra Pradesh,1889513,1838469,12706,38338,3797.0
74,2021-07-01 17:46:38,Andhra Pradesh,1893354,1842432,12744,38178,3841.0
75,2021-07-02 19:43:09,Andhra Pradesh,1896818,1846716,12779,37323,3464.0
76,2021-07-03 21:12:18,Andhra Pradesh,1899748,1851062,12815,35871,2930.0
77,2021-07-04 23:33:19,Andhra Pradesh,1902923,1854754,12844,35325,3175.0
78,2021-07-05 18:31:31,Andhra Pradesh,1905023,1858189,12870,33964,2100.0
79,2021-07-06 18:55:06,Andhra Pradesh,1908065,1861937,12898,33230,3042.0
80,2021-07-07 19:06:36,Andhra Pradesh,1911231,1865956,12919,32356,3166.0
