,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:46:42,Madhya Pradesh,459195,369375,4863,84957,
1,2021-04-23 20:16:03,Madhya Pradesh,472785,380208,4937,87640,13590.0
2,2021-04-24 21:14:04,Madhya Pradesh,485703,391299,5041,89363,12918.0
3,2021-04-25 21:13:44,Madhya Pradesh,499304,402623,5133,91548,13601.0
4,2021-04-26 20:44:58,Madhya Pradesh,511990,414235,5221,92534,12686.0
5,2021-04-27 19:40:54,Madhya Pradesh,523904,424604,5306,93994,11914.0
6,2021-04-27 20:13:34,Madhya Pradesh,525407,425812,5319,94276,1503.0
7,2021-04-28 22:32:55,Madhya Pradesh,538165,439968,5424,92773,12758.0
8,2021-04-29 22:28:00,Madhya Pradesh,550927,453331,5519,92077,12762.0
9,2021-04-30 19:42:49,Madhya Pradesh,563327,466915,5616,90796,12400.0
10,2021-05-01 21:40:44,Madhya Pradesh,575706,481477,5718,88511,12379.0
11,2021-05-02 20:10:48,Madhya Pradesh,588368,495367,5812,87189,12662.0
12,2021-05-03 22:28:06,Madhya Pradesh,600430,508775,5905,85750,12062.0
13,2021-05-04 21:12:35,Madhya Pradesh,612666,520024,6003,86639,12236.0
14,2021-05-05 22:25:12,Madhya Pradesh,624985,529667,6074,89244,12319.0
15,2021-05-06 22:26:47,Madhya Pradesh,637406,542632,6160,88614,12421.0
16,2021-05-07 20:32:23,Madhya Pradesh,649114,547447,6244,95423,11708.0
17,2021-05-08 19:28:10,Madhya Pradesh,660712,551892,6334,102486,11598.0
18,2021-05-09 20:39:16,Madhya Pradesh,671763,556430,6420,108913,11051.0
19,2021-05-10 20:12:05,Madhya Pradesh,681478,563754,6501,111223,9715.0
20,2021-05-12 10:41:15,Madhya Pradesh,691232,573271,6595,111366,9754.0
21,2021-05-12 21:15:38,Madhya Pradesh,700202,583595,6679,109928,8970.0
22,2021-05-13 21:15:16,Madhya Pradesh,708621,593752,6753,108116,8419.0
23,2021-05-14 20:25:32,Madhya Pradesh,716708,605423,6841,104444,8087.0
24,2021-05-15 20:54:08,Madhya Pradesh,723699,616343,6906,100450,6991.0
25,2021-05-15 21:15:10,Madhya Pradesh,724279,617396,6913,99970,580.0
26,2021-05-16 21:42:53,Madhya Pradesh,731385,629741,6992,94652,7106.0
27,2021-05-17 20:16:57,Madhya Pradesh,737306,641254,7069,88983,5921.0
28,2021-05-18 20:17:14,Madhya Pradesh,742718,652612,7139,82967,5412.0
29,2021-05-19 20:44:30,Madhya Pradesh,747783,662949,7227,77607,5065.0
30,2021-05-23 14:41:27,Madhya Pradesh,760963,691427,7483,62053,13180.0
31,2021-05-23 20:42:09,Madhya Pradesh,764338,699014,7558,57766,3375.0
32,2021-05-24 21:16:15,Madhya Pradesh,767274,706003,7618,53653,2936.0
33,2021-05-25 21:30:04,Madhya Pradesh,769696,713376,7686,48634,2422.0
34,2021-05-26 21:46:04,Madhya Pradesh,771878,720855,7758,43265,2182.0
35,2021-05-27 20:49:34,Madhya Pradesh,773855,727700,7828,38327,1977.0
36,2021-05-28 21:23:59,Madhya Pradesh,775709,733496,7891,34322,1854.0
37,2021-05-29 20:56:51,Madhya Pradesh,777349,738491,7959,30899,1640.0
38,2021-05-30 20:14:43,Madhya Pradesh,778825,743550,8019,27256,1476.0
39,2021-05-31 20:54:35,Madhya Pradesh,780030,748573,8067,23390,1205.0
40,2021-06-01 21:44:41,Madhya Pradesh,781108,752693,8112,20303,1078.0
41,2021-06-02 21:52:11,Madhya Pradesh,782099,756806,8157,17136,991.0
42,2021-06-03 20:20:41,Madhya Pradesh,782902,760368,8200,14334,803.0
43,2021-06-03 21:00:54,Madhya Pradesh,782945,760552,8207,14186,43.0
44,2021-06-04 23:33:08,Madhya Pradesh,783743,762597,8257,12889,798.0
45,2021-06-05 20:07:54,Madhya Pradesh,784461,764822,8295,11344,718.0
46,2021-06-06 20:52:37,Madhya Pradesh,785196,766756,8337,10103,735.0
47,2021-06-07 20:31:38,Madhya Pradesh,785754,768452,8369,8933,558.0
48,2021-06-07 20:39:42,Madhya Pradesh,785767,768538,8369,8860,13.0
49,2021-06-08 20:09:52,Madhya Pradesh,786302,769914,8405,7983,535.0
50,2021-06-09 20:42:47,Madhya Pradesh,786755,771243,8441,7071,453.0
51,2021-06-10 20:44:02,Madhya Pradesh,787151,772238,8473,6440,396.0
52,2021-06-10 20:51:59,Madhya Pradesh,787175,772375,8475,6325,24.0
53,2021-06-11 20:46:09,Madhya Pradesh,787567,773606,8508,5453,392.0
54,2021-06-11 20:55:49,Madhya Pradesh,787572,773615,8510,5447,5.0
55,2021-06-12 22:47:30,Madhya Pradesh,787906,774600,8531,4775,334.0
56,2021-06-13 22:01:10,Madhya Pradesh,788180,775367,8546,4267,274.0
57,2021-06-13 22:10:26,Madhya Pradesh,788183,775380,8550,4253,3.0
58,2021-06-13 22:21:10,Madhya Pradesh,788183,775380,8552,4251,0.0
59,2021-06-14 19:32:59,Madhya Pradesh,788425,775896,8588,3941,242.0
60,2021-06-15 20:22:02,Madhya Pradesh,788635,776387,8612,3636,210.0
61,2021-06-15 20:31:22,Madhya Pradesh,788649,776424,8615,3610,14.0
62,2021-06-16 20:48:30,Madhya Pradesh,788809,776887,8649,3273,160.0
63,2021-06-18 08:08:26,Madhya Pradesh,788954,777291,8679,2984,145.0
64,2021-06-18 20:21:03,Madhya Pradesh,789064,777630,8707,2727,110.0
65,2021-06-19 21:17:44,Madhya Pradesh,789174,777995,8737,2442,110.0
66,2021-06-20 20:09:33,Madhya Pradesh,789261,778280,8767,2214,87.0
67,2021-06-20 22:44:18,Madhya Pradesh,789174,777995,8737,2442,-87.0
68,2021-06-20 23:00:27,Madhya Pradesh,789261,778280,8767,2214,87.0
69,2021-06-21 21:50:16,Madhya Pradesh,789350,778584,8786,1980,89.0
70,2021-06-22 21:20:11,Madhya Pradesh,789414,778895,8806,1713,64.0
71,2021-06-22 21:29:51,Madhya Pradesh,789415,778902,8806,1707,1.0
72,2021-06-23 21:38:26,Madhya Pradesh,789499,779173,8827,1499,84.0
73,2021-06-23 21:46:35,Madhya Pradesh,789499,779177,8827,1495,0.0
74,2021-06-24 21:19:00,Madhya Pradesh,789561,779432,8849,1280,62.0
75,2021-06-25 20:23:09,Madhya Pradesh,789611,779630,8871,1110,50.0
76,2021-06-26 20:05:40,Madhya Pradesh,789657,779834,8896,927,46.0
77,2021-06-27 20:21:50,Madhya Pradesh,789695,779963,8916,816,38.0
78,2021-06-27 20:28:26,Madhya Pradesh,789696,779963,8917,816,1.0
79,2021-06-28 22:08:52,Madhya Pradesh,789732,780095,8936,701,36.0
80,2021-06-28 22:18:14,Madhya Pradesh,789733,780101,8936,696,1.0
81,2021-06-29 19:48:06,Madhya Pradesh,789767,780185,8954,628,34.0
82,2021-06-29 19:56:11,Madhya Pradesh,789771,780187,8954,630,4.0
83,2021-06-30 19:49:20,Madhya Pradesh,789800,780246,8965,589,29.0
84,2021-06-30 19:57:29,Madhya Pradesh,789804,780265,8969,570,4.0
85,2021-07-01 21:32:01,Madhya Pradesh,789841,780328,8980,533,37.0
86,2021-07-01 21:42:49,Madhya Pradesh,789844,780330,8981,533,3.0
87,2021-07-02 22:24:13,Madhya Pradesh,789885,780382,8987,516,41.0
88,2021-07-02 22:51:32,Madhya Pradesh,789887,780384,8989,514,2.0
89,2021-07-03 20:33:12,Madhya Pradesh,789936,780445,9001,490,49.0
90,2021-07-05 08:13:08,Madhya Pradesh,789983,780495,9009,479,47.0
91,2021-07-05 20:22:57,Madhya Pradesh,790015,780534,9015,466,32.0
92,2021-07-06 19:47:33,Madhya Pradesh,790042,780578,9017,447,27.0
93,2021-07-08 09:31:38,Madhya Pradesh,790070,780610,9019,441,28.0
94,2021-07-08 11:36:35,Madhya Pradesh,790042,780578,9017,447,-28.0
95,2021-07-08 11:49:51,Madhya Pradesh,790070,780610,9019,441,28.0
96,2021-07-08 20:13:43,Madhya Pradesh,790096,780657,9023,416,26.0
97,2021-07-09 21:42:39,Madhya Pradesh,790125,780695,9024,406,29.0
98,2021-07-10 20:16:22,Madhya Pradesh,790152,780735,9025,392,27.0
99,2021-07-11 22:33:14,Madhya Pradesh,790175,780735,9025,415,23.0
100,2021-07-13 12:43:51,Madhya Pradesh,790193,780735,10506,-1048,18.0
101,2021-07-13 19:04:24,Madhya Pradesh,790193,779295,10506,392,0.0
