,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:46:50,Punjab,319719,270946,8189,40584,
1,2021-04-23 21:41:44,Punjab,326447,274240,8264,43943,6728.0
2,2021-04-24 21:41:13,Punjab,332110,277189,8356,46565,5663.0
3,2021-04-25 22:29:37,Punjab,339090,282504,8432,48154,6980.0
4,2021-04-26 22:20:53,Punjab,345366,286942,8530,49894,6276.0
5,2021-04-27 22:30:16,Punjab,351282,290716,8630,51936,5916.0
6,2021-04-28 22:33:01,Punjab,358186,295988,8772,53426,6904.0
7,2021-04-29 21:41:21,Punjab,364910,301047,8909,54954,6724.0
8,2021-04-30 22:26:46,Punjab,370973,306153,9022,55798,6063.0
9,2021-05-01 22:26:28,Punjab,377990,310601,9160,58229,7017.0
10,2021-05-02 21:41:43,Punjab,385270,315845,9317,60108,7280.0
11,2021-05-03 22:28:14,Punjab,392042,321861,9472,60709,6772.0
12,2021-05-04 21:40:33,Punjab,399556,327976,9645,61935,7514.0
13,2021-05-05 22:25:20,Punjab,407509,334677,9825,63007,7953.0
14,2021-05-06 21:41:40,Punjab,416350,339803,9979,66568,8841.0
15,2021-05-07 22:25:30,Punjab,424647,344779,10144,69724,8297.0
16,2021-05-08 21:38:49,Punjab,433689,351426,10315,71948,9042.0
17,2021-05-09 23:14:18,Punjab,442125,357276,10506,74343,8436.0
18,2021-05-10 21:32:35,Punjab,450674,364170,10704,75800,8549.0
19,2021-05-12 10:41:22,Punjab,459268,371494,10918,76856,8594.0
20,2021-05-12 22:32:04,Punjab,467539,376465,11111,79963,8271.0
21,2021-05-13 22:30:36,Punjab,475949,384702,11297,79950,8410.0
22,2021-05-14 22:29:31,Punjab,483984,393148,11477,79359,8035.0
23,2021-05-15 21:44:04,Punjab,490755,401273,11693,77789,6771.0
24,2021-05-16 21:42:58,Punjab,497705,410332,11895,75478,6950.0
25,2021-05-17 23:22:58,Punjab,504586,418884,12086,73616,6881.0
26,2021-05-18 22:30:11,Punjab,511652,427058,12317,72277,7066.0
27,2021-05-19 21:45:53,Punjab,517954,434930,12525,70499,6302.0
28,2021-05-23 14:41:47,Punjab,533973,459681,13089,61203,16019.0
29,2021-05-24 12:43:31,Punjab,538994,468208,13281,57505,5021.0
30,2021-05-25 11:01:51,Punjab,543475,475011,13468,54996,4481.0
31,2021-05-26 10:00:01,Punjab,548231,481462,13642,53127,4756.0
32,2021-05-26 23:32:21,Punjab,552235,487859,13827,50549,4004.0
33,2021-05-27 22:14:40,Punjab,556089,493854,14004,48231,3854.0
34,2021-05-28 22:04:42,Punjab,559795,500651,14180,44964,3706.0
35,2021-05-30 10:24:27,Punjab,562831,506349,14305,42177,3036.0
36,2021-05-30 20:53:34,Punjab,565415,511720,14432,39263,2584.0
37,2021-06-01 11:00:16,Punjab,567607,516624,14550,36433,2192.0
38,2021-06-02 10:00:29,Punjab,569756,521663,14649,33444,2149.0
39,2021-06-03 12:49:01,Punjab,571970,526089,14748,31133,2214.0
40,2021-06-03 22:55:58,Punjab,574114,530601,14840,28673,2144.0
41,2021-06-04 23:31:25,Punjab,576119,534915,14927,26277,2005.0
42,2021-06-06 11:09:39,Punjab,577997,538534,15009,24454,1878.0
43,2021-06-06 21:45:44,Punjab,579560,542324,15076,22160,1563.0
44,2021-06-08 00:05:39,Punjab,580829,545674,15160,19995,1269.0
45,2021-06-09 08:23:22,Punjab,582081,548316,15219,18546,1252.0
46,2021-06-09 23:37:32,Punjab,583474,550837,15293,17344,1393.0
47,2021-06-10 22:22:28,Punjab,584785,553174,15367,16244,1311.0
48,2021-06-11 22:07:51,Punjab,585986,555245,15435,15306,1201.0
49,2021-06-13 10:22:10,Punjab,586947,557380,15503,14064,961.0
50,2021-06-14 08:15:32,Punjab,587903,559360,15562,12981,956.0
51,2021-06-14 21:31:57,Punjab,588525,561010,15602,11913,622.0
52,2021-06-15 21:47:42,Punjab,589153,562701,15650,10802,628.0
53,2021-06-17 08:34:54,Punjab,589828,564084,15698,10046,675.0
54,2021-06-18 08:08:36,Punjab,590556,565339,15738,9479,728.0
55,2021-06-18 21:54:48,Punjab,591168,566568,15771,8829,612.0
56,2021-06-19 23:41:48,Punjab,591762,567883,15802,8077,594.0
57,2021-06-21 07:45:12,Punjab,592303,569056,15826,7421,541.0
58,2021-06-22 09:48:23,Punjab,592658,570327,15854,6477,355.0
59,2021-06-23 08:15:31,Punjab,593063,571207,15888,5968,405.0
60,2021-06-23 21:22:23,Punjab,593572,572008,15923,5641,509.0
61,2021-06-24 21:39:46,Punjab,593941,572723,15944,5274,369.0
62,2021-06-25 22:07:18,Punjab,594279,573491,15956,4832,338.0
63,2021-06-26 22:33:22,Punjab,594586,574231,15974,4381,307.0
64,2021-06-26 22:41:20,Punjab,594586,574231,15979,4376,0.0
65,2021-06-28 08:08:46,Punjab,594883,574872,15991,4020,297.0
66,2021-06-28 22:18:27,Punjab,595136,575486,16011,3639,253.0
67,2021-06-29 21:13:34,Punjab,595347,575958,16033,3356,211.0
68,2021-06-29 21:22:01,Punjab,595351,575971,16033,3347,4.0
69,2021-07-01 10:39:35,Punjab,595609,576423,16052,3134,258.0
70,2021-07-02 08:57:30,Punjab,595899,576866,16072,2961,290.0
71,2021-07-03 10:15:41,Punjab,596094,577256,16086,2752,195.0
72,2021-07-04 10:46:47,Punjab,596265,577624,16103,2538,171.0
73,2021-07-04 23:35:36,Punjab,596416,577982,16110,2324,151.0
74,2021-07-06 08:32:47,Punjab,596550,578310,16122,2118,134.0
75,2021-07-07 08:45:27,Punjab,596736,578590,16131,2015,186.0
76,2021-07-07 21:47:44,Punjab,596970,578865,16141,1964,234.0
77,2021-07-08 11:36:45,Punjab,596736,578590,16131,2015,-234.0
78,2021-07-08 11:50:01,Punjab,596970,578865,16141,1964,234.0
79,2021-07-08 21:59:34,Punjab,597195,579111,16157,1927,225.0
80,2021-07-09 23:49:27,Punjab,597347,579370,16168,1809,152.0
81,2021-07-10 22:34:21,Punjab,597469,579618,16177,1674,122.0
82,2021-07-12 10:25:42,Punjab,597598,579829,16186,1583,129.0
83,2021-07-13 12:44:05,Punjab,597714,580027,16193,1494,116.0
84,2021-07-14 08:48:20,Punjab,597821,580195,16199,1427,107.0
