,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:46:26,Telangana,373468,321788,1899,49781,
1,2021-04-23 12:47:37,Telangana,379494,324840,1928,52726,6026.0
2,2021-04-24 12:37:20,Telangana,387106,326997,1961,58148,7612.0
3,2021-04-25 12:46:46,Telangana,395232,330304,1999,62929,8126.0
4,2021-04-26 12:19:44,Telangana,401783,334108,2042,65633,6551.0
5,2021-04-27 12:47:22,Telangana,411905,340554,2094,69257,10122.0
6,2021-04-28 14:41:43,Telangana,419966,340554,2094,77318,8061.0
7,2021-04-28 15:13:03,Telangana,419966,345647,2150,72169,0.0
8,2021-04-29 17:30:23,Telangana,427960,349656,2208,76096,7994.0
9,2021-04-29 19:31:54,Telangana,427960,349692,2208,76060,0.0
10,2021-04-30 13:12:38,Telangana,435606,355618,2261,77727,7646.0
11,2021-05-01 13:12:12,Telangana,443360,362160,2312,78888,7754.0
12,2021-05-02 20:10:41,Telangana,450790,367727,2368,80695,7430.0
13,2021-05-03 13:16:56,Telangana,456485,373933,2417,80135,5695.0
14,2021-05-04 12:46:29,Telangana,463361,381365,2476,79520,6876.0
15,2021-05-05 13:12:42,Telangana,469722,389491,2527,77704,6361.0
16,2021-05-06 12:45:32,Telangana,475748,396042,2579,77127,6026.0
17,2021-05-07 14:14:38,Telangana,481640,405164,2625,73851,5892.0
18,2021-05-08 17:29:44,Telangana,487199,413225,2666,71308,5559.0
19,2021-05-08 18:52:50,Telangana,492385,421219,2704,68462,5186.0
20,2021-05-09 21:10:23,Telangana,497361,428865,2739,65757,4976.0
21,2021-05-10 19:31:34,Telangana,502187,436619,2771,62797,4826.0
22,2021-05-12 10:40:59,Telangana,506988,444049,2803,60136,4801.0
23,2021-05-12 20:36:02,Telangana,511711,449744,2834,59133,4723.0
24,2021-05-13 19:04:56,Telangana,516404,456620,2867,56917,4693.0
25,2021-05-14 20:25:21,Telangana,520709,462981,2896,54832,4305.0
26,2021-05-15 19:44:02,Telangana,525007,469007,2928,53072,4298.0
27,2021-05-16 20:47:48,Telangana,528823,474899,2955,50969,3816.0
28,2021-05-17 19:44:43,Telangana,532784,480458,2985,49341,3961.0
29,2021-05-18 19:05:21,Telangana,536766,485644,3012,48110,3982.0
30,2021-05-19 20:44:00,Telangana,540603,490620,3037,46946,3837.0
31,2021-05-23 14:40:47,Telangana,551035,504970,3106,42959,10432.0
32,2021-05-23 22:19:48,Telangana,553277,509663,3125,40489,2242.0
33,2021-05-24 21:49:06,Telangana,556320,514356,3146,38818,3043.0
34,2021-05-25 20:51:33,Telangana,560141,518654,3169,38318,3821.0
35,2021-05-26 21:45:43,Telangana,563903,522082,3189,38632,3762.0
36,2021-05-27 20:49:20,Telangana,567517,526043,3207,38267,3614.0
37,2021-05-28 20:08:15,Telangana,571044,530025,3226,37793,3527.0
38,2021-05-29 20:16:44,Telangana,574026,533862,3247,36917,2982.0
39,2021-05-30 21:47:26,Telangana,575827,537522,3263,35042,1801.0
40,2021-05-31 20:54:19,Telangana,578351,540986,3281,34084,2524.0
41,2021-06-01 21:44:24,Telangana,580844,544294,3296,33254,2493.0
42,2021-06-02 21:51:54,Telangana,583228,546536,3313,33379,2384.0
43,2021-06-03 20:22:23,Telangana,585489,549579,3331,32579,2261.0
44,2021-06-04 19:35:32,Telangana,587664,553400,3346,30918,2175.0
45,2021-06-05 20:07:42,Telangana,589734,557162,3364,29208,2070.0
46,2021-06-06 20:52:25,Telangana,591170,560776,3378,27016,1436.0
47,2021-06-07 20:31:26,Telangana,593103,564303,3394,25406,1933.0
48,2021-06-08 00:05:17,Telangana,595011,567830,3410,23771,1908.0
49,2021-06-08 09:37:31,Telangana,593103,564303,3394,25406,-1908.0
50,2021-06-08 20:38:13,Telangana,595000,567285,3409,24306,1897.0
51,2021-06-09 20:42:35,Telangana,596813,569086,3426,24301,1813.0
52,2021-06-10 19:25:46,Telangana,598611,571610,3440,23561,1798.0
53,2021-06-11 19:45:38,Telangana,600318,574103,3456,22759,1707.0
54,2021-06-12 19:51:40,Telangana,602089,576487,3469,22133,1771.0
55,2021-06-13 21:52:57,Telangana,603369,578748,3484,21137,1280.0
56,2021-06-14 19:32:47,Telangana,604880,580923,3496,20461,1511.0
57,2021-06-15 20:12:30,Telangana,606436,582993,3510,19933,1556.0
58,2021-06-17 08:34:32,Telangana,607925,584429,3521,19975,1489.0
59,2021-06-18 08:08:05,Telangana,609417,586362,3534,19521,1492.0
60,2021-06-18 19:35:09,Telangana,610798,588259,3546,18993,1381.0
61,2021-06-18 19:44:30,Telangana,610834,588259,3546,19029,36.0
62,2021-06-19 19:13:42,Telangana,612196,590072,3556,18568,1362.0
63,2021-06-20 20:58:11,Telangana,613202,591870,3567,17765,1006.0
64,2021-06-20 22:44:00,Telangana,612196,590072,3556,18568,-1006.0
65,2021-06-20 22:59:57,Telangana,613202,591870,3567,17765,1006.0
66,2021-06-21 18:58:46,Telangana,614399,593577,3576,17246,1197.0
67,2021-06-22 19:18:59,Telangana,615574,595348,3586,16640,1175.0
68,2021-06-23 20:02:39,Telangana,616688,596628,3598,16462,1114.0
69,2021-06-24 21:18:42,Telangana,617776,598139,3607,16030,1088.0
70,2021-06-25 20:04:43,Telangana,618837,599695,3618,15524,1061.0
71,2021-06-26 19:58:08,Telangana,619865,601184,3627,15054,1028.0
72,2021-06-27 20:28:00,Telangana,620613,602676,3635,14302,748.0
73,2021-06-28 19:32:49,Telangana,621604,604093,3644,13867,991.0
74,2021-06-28 19:42:15,Telangana,621606,604093,3644,13869,2.0
75,2021-06-29 19:12:39,Telangana,622592,604093,3644,14855,986.0
76,2021-06-29 19:22:13,Telangana,622593,605455,3651,13487,1.0
77,2021-06-30 19:49:09,Telangana,623510,606461,3661,13388,917.0
78,2021-07-01 21:23:52,Telangana,624379,607658,3669,13052,869.0
79,2021-07-02 23:07:47,Telangana,625237,607658,3669,13910,858.0
80,2021-07-02 23:14:25,Telangana,625237,608833,3678,12726,0.0
81,2021-07-03 20:32:46,Telangana,626085,609947,3684,12454,848.0
82,2021-07-04 23:34:44,Telangana,626690,611035,3691,11964,605.0
83,2021-07-05 20:22:46,Telangana,627498,612096,3698,11704,808.0
84,2021-07-06 21:06:55,Telangana,628282,613124,3703,11455,784.0
85,2021-07-07 19:45:48,Telangana,629054,613872,3710,11472,772.0
86,2021-07-08 11:36:16,Telangana,628282,613124,3703,11455,-772.0
87,2021-07-08 11:49:32,Telangana,629054,613872,3710,11472,772.0
88,2021-07-08 19:54:49,Telangana,629785,614865,3714,11206,731.0
89,2021-07-09 19:06:30,Telangana,630514,615852,3720,10942,729.0
90,2021-07-10 19:25:27,Telangana,631218,616769,3725,10724,704.0
91,2021-07-11 19:33:39,Telangana,631683,617638,3729,10316,465.0
92,2021-07-12 20:07:53,Telangana,632379,618496,3735,10148,696.0
93,2021-07-13 19:44:27,Telangana,633146,619344,3738,10064,767.0
94,2021-07-14 20:42:49,Telangana,633895,619949,3743,10203,749.0
95,2021-07-15 19:52:03,Telangana,634605,620757,3747,10101,710.0
96,2021-07-16 21:08:59,Telangana,635320,621541,3751,10028,715.0
97,2021-07-17 21:14:47,Telangana,636049,622313,3756,9980,729.0
98,2021-07-18 20:48:09,Telangana,636627,623044,3759,9824,578.0
99,2021-07-19 21:23:52,Telangana,637373,623773,3764,9836,746.0
100,2021-07-20 21:36:28,Telangana,638030,624477,3766,9787,657.0
101,2021-07-21 20:45:29,Telangana,638721,625042,3771,9908,691.0
102,2021-07-22 20:42:06,Telangana,639363,625042,3771,10550,642.0
103,2021-07-22 20:51:35,Telangana,639369,625738,3774,9857,6.0
104,2021-07-23 20:44:14,Telangana,640012,626505,3778,9729,643.0
105,2021-07-24 20:08:33,Telangana,640659,627254,3780,9625,647.0
106,2021-07-25 14:42:12,Telangana,641153,627964,3784,9405,494.0
107,2021-07-26 20:31:47,Telangana,641791,628679,3787,9325,638.0
108,2021-07-27 20:20:34,Telangana,642436,629408,3791,9237,645.0
109,2021-07-28 21:44:24,Telangana,643093,629986,3793,9314,657.0
110,2021-07-29 21:00:11,Telangana,643716,630732,3796,9188,623.0
111,2021-07-30 20:06:00,Telangana,644330,631389,3800,9141,614.0
112,2021-07-31 21:39:05,Telangana,644951,632080,3802,9069,621.0
113,2021-08-01 22:34:47,Telangana,645406,632728,3805,8873,455.0
114,2021-08-03 09:07:43,Telangana,645997,633371,3807,8819,591.0
