,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:14,Tripura,34259,33242,391,603,
1,2021-04-23 12:47:58,Tripura,34299,33288,391,597,40.0
2,2021-04-24 12:36:41,Tripura,34426,33333,391,679,127.0
3,2021-04-25 12:46:03,Tripura,34526,33351,391,761,100.0
4,2021-04-26 12:49:09,Tripura,34624,33413,391,797,98.0
5,2021-04-27 12:46:41,Tripura,34735,33457,391,864,111.0
6,2021-04-28 14:42:03,Tripura,34859,33492,393,951,124.0
7,2021-04-29 17:30:43,Tripura,35025,33505,393,1104,166.0
8,2021-04-30 13:12:06,Tripura,35166,33555,393,1195,141.0
9,2021-05-01 13:12:32,Tripura,35339,33622,395,1299,173.0
10,2021-05-02 19:44:11,Tripura,35586,33663,395,1505,247.0
11,2021-05-03 12:47:13,Tripura,35720,33725,396,1576,134.0
12,2021-05-04 13:10:55,Tripura,35991,33812,397,1759,271.0
13,2021-05-05 13:12:04,Tripura,36231,33871,397,1940,240.0
14,2021-05-06 12:45:49,Tripura,36531,33946,400,2162,300.0
15,2021-05-07 14:14:02,Tripura,36846,34095,401,2327,315.0
16,2021-05-08 17:29:03,Tripura,37205,34212,402,2568,359.0
17,2021-05-09 14:13:48,Tripura,37556,34344,403,2786,351.0
18,2021-05-10 13:15:35,Tripura,37689,34474,407,2785,133.0
19,2021-05-11 13:48:53,Tripura,38155,34624,410,3098,466.0
20,2021-05-12 14:14:44,Tripura,38571,34761,419,3368,416.0
21,2021-05-13 12:54:49,Tripura,39051,34888,421,3719,480.0
22,2021-05-14 19:40:47,Tripura,39603,35088,423,4069,552.0
23,2021-05-15 12:47:22,Tripura,40052,35338,426,4265,449.0
24,2021-05-16 21:13:44,Tripura,40813,35464,428,4898,761.0
25,2021-05-17 13:17:41,Tripura,41148,35756,438,4931,335.0
26,2021-05-18 12:19:08,Tripura,41894,36025,442,5404,746.0
27,2021-05-19 12:50:39,Tripura,42773,36342,447,5961,879.0
28,2021-05-23 14:42:58,Tripura,46096,37565,460,8048,3323.0
29,2021-05-24 14:01:47,Tripura,46522,38039,462,7998,426.0
